Date,Close,High,Low,Open,Volume
9/3/2015,43.0200882,43.22860248,42.7200294,43.10146002,493780
9/6/2015,42.68443298,43.10146157,42.59288847,42.84717341,175446
9/7/2015,42.56745529,42.97431437,42.46574133,42.97431437,232826
9/8/2015,42.7505455,42.84717313,42.46574573,42.5928882,411955
9/9/2015,44.75432205,45.008607,43.2286059,43.2286059,432645
9/10/2015,44.24066162,44.3728872,43.48288674,43.73717489,180135
9/13/2015,44.11860275,44.50003014,43.22860228,43.48288721,107951
9/14/2015,43.73208618,44.11859989,43.61002684,43.73717252,305793
9/15/2015,43.14214706,43.73717835,41.95717728,43.22860524,397934
9/16/2015,41.64693832,43.4828824,40.68573882,43.2285975,484139
9/17/2015,42.81157684,43.22860545,40.30431566,41.06717372,491007
9/20/2015,42.7505455,42.97431883,41.70288769,42.72003066,197724
9/21/2015,43.22351837,43.35574719,42.84717408,42.84717408,149408
9/27/2015,43.22351837,43.22351837,43.22351837,43.22351837,0
9/28/2015,43.22351837,43.22351837,43.22351837,43.22351837,0
9/29/2015,42.82174683,43.10146025,41.83002915,42.84717209,204470
9/30/2015,42.84717178,42.97431747,42.46574439,42.59288685,104941
10/1/2015,43.25911713,43.73717537,42.72002921,42.72002921,189628
10/4/2015,42.95905685,43.2286008,42.72002774,43.10145834,206088
10/5/2015,43.78294373,43.991458,42.72002698,42.72002698,181204
10/6/2015,44.48477173,44.50002753,43.48288465,43.99145771,174098
10/7/2015,44.60174561,44.75431656,43.48288551,43.48288551,189528
10/8/2015,44.47459793,44.75431455,44.37288397,44.37288397,410193
10/11/2015,44.19997406,45.13574517,44.11860224,44.75431778,271925
10/12/2015,44.45935059,44.50003489,43.8643225,44.50003489,187162
10/13/2015,44.19488525,44.50002715,43.86431487,44.50002715,436682
10/14/2015,43.76259995,43.99145636,43.61002578,43.99145636,92047
10/15/2015,43.98637009,44.50002624,43.22859849,43.99145643,116556
10/18/2015,44.11351395,44.62717334,43.35574232,44.62717334,208367
10/19/2015,44.45935059,44.50003489,43.73718002,43.99146498,88428
10/20/2015,43.98637009,44.37288379,43.86431398,44.24574134,83384
10/21/2015,43.00482941,43.86431828,42.72002964,43.86431828,132349
10/22/2015,41.45877457,42.97431792,41.19431695,42.72002976,12385244
10/25/2015,41.04174423,41.95717647,40.94003026,41.95717647,176379
10/26/2015,40.76712036,41.06717597,40.43146357,41.06717597,291137
10/27/2015,38.93117142,41.06717129,38.39716984,41.06717129,450326
10/28/2015,39.5567131,39.79574222,38.65145684,39.5414573,8325382
10/29/2015,39.92797089,40.17716947,39.79574208,40.050027,178052
11/1/2015,39.35837173,39.92288491,39.16002691,39.92288491,119091
11/2/2015,37.27322006,39.54145158,36.87144736,39.16002102,701910
11/3/2015,37.50716782,37.88859842,36.87145229,37.25288289,1195688
11/4/2015,38.0462532,38.14288082,37.50716534,37.88859592,259180
11/5/2015,37.32407761,38.14287883,37.12573604,38.14287883,100227
11/8/2015,38.17339325,39.79573664,37.12573564,37.25287808,307600
11/9/2015,38.7684288,39.28717137,37.88860098,38.14288592,155033
11/10/2015,39.03288269,39.41431329,38.39716718,38.39716718,224989
11/11/2015,39.64825821,40.05002775,38.90574235,39.03288481,256232
11/12/2015,39.80082703,40.17716805,39.41431331,39.66859823,173973
11/15/2015,38.51414108,39.28716853,37.6343101,39.28716853,291956
11/16/2015,39.28717041,39.54145857,38.90574301,39.03288548,253005
11/17/2015,39.69403076,40.17717215,39.16002916,39.28717163,492467
11/18/2015,40.04494476,40.30431281,39.28716987,39.28716987,207830
11/19/2015,40.38060379,40.81288819,40.17717261,40.30431508,891367
11/22/2015,41.08242798,41.32145709,40.68574157,40.81288403,550021
11/23/2015,41.19431305,41.83002532,40.68574001,41.3214555,380370
11/24/2015,40.89425659,41.83002768,40.81288477,41.4486003,377791
11/25/2015,41.08751297,41.44859819,40.94002514,40.94002514,468918
11/26/2015,41.31637573,41.32146208,40.68574648,40.94003143,633912
11/29/2015,41.06716919,41.19431487,40.68574181,40.94002673,494934
11/30/2015,40.59420395,40.94003018,39.92288719,40.94003018,439116
12/1/2015,40.27888489,40.685744,40.17717091,40.30431338,450771
12/2/2015,40.74677277,40.81288556,40.17717001,40.17717001,216567
12/3/2015,40.3856926,40.81289394,40.30432076,40.81289394,91224
12/6/2015,40.70100021,40.68574441,40.17717131,40.17717131,224843
12/7/2015,41.1536293,41.19431683,40.81288621,40.81288621,731947
12/8/2015,40.55351257,40.68574137,39.79574094,40.68574137,478066
12/9/2015,40.47723007,40.68574436,40.30431374,40.5586019,181189
12/10/2015,40.07545471,40.55859928,40.05002622,40.43145682,480926
12/13/2015,38.51922989,40.17717154,37.6343125,40.17717154,297540
12/14/2015,40.74677277,41.57574356,40.05002755,40.17717001,1242108
12/15/2015,43.4523735,43.48288511,40.68574136,40.94002628,1128766
12/16/2015,42.5827179,44.75431895,42.46574489,43.86431847,498927
12/17/2015,41.67745972,42.97431936,41.44860327,42.7200312,1587125
12/20/2015,41.59608459,41.70288491,40.685742,41.19431507,387798
12/21/2015,41.94191742,41.95717645,41.1943184,41.1943184,137221
12/22/2015,42.46574783,42.59289031,41.95717793,42.21146288,135400
12/23/2015,41.88597488,43.2286052,41.70288908,42.59288961,109670
12/24/2015,41.47911835,42.21146156,41.44860351,41.83003092,107522
12/27/2015,41.1536293,41.44860176,40.94002867,41.19431683,123312
12/28/2015,40.87391281,41.44859865,40.55859823,41.19431374,308819
